id,city_name,region_name
0,Абакан,Хакасия
1,Абдулино,Оренбургская область
2,Абинск,Краснодарский край
3,Агидель,Башкортостан
4,Агрыз,Татарстан
5,Адыгейск,Адыгея
6,Азнакаево,Татарстан
7,Азов,Ростовская область
8,Ак-Довурак,Тыва
9,Аксай,Ростовская область
10,Алагир,Северная Осетия
11,Алапаевск,Свердловская область
12,Алатырь,Чувашия
13,Алдан,Якутия
14,Алейск,Алтайский край
15,Александров,Владимирская область
16,Александровск,Пермский край
17,Александровск-Сахалинский,Сахалинская область
18,Алексеевка,Белгородская область
19,Алексин,Тульская область
20,Алзамай,Иркутская область
21,Альметьевск,Татарстан
22,Амурск,Хабаровский край
23,Анадырь,Чукотский АО
24,Анапа,Краснодарский край
25,Ангарск,Иркутская область
26,Андреаполь,Тверская область
27,Анжеро-Судженск,Кемеровская область
28,Анива,Сахалинская область
29,Апатиты,Мурманская область
30,Апрелевка,Московская область
31,Апшеронск,Краснодарский край
32,Арамиль,Свердловская область
33,Аргун,Чечня
34,Ардатов,Мордовия
35,Ардон,Северная Осетия
36,Арзамас,Нижегородская область
37,Аркадак,Саратовская область
38,Армавир,Краснодарский край
39,Арсеньев,Приморский край
40,Арск,Татарстан
41,Артём,Приморский край
42,Артёмовск,Красноярский край
43,Артёмовский,Свердловская область
44,Архангельск,Архангельская область
45,Асбест,Свердловская область
46,Асино,Томская область
47,Астрахань,Астраханская область
48,Аткарск,Саратовская область
49,Ахтубинск,Астраханская область
50,Ачинск,Красноярский край
51,Ачхой-Мартан,Чечня
52,Аша,Челябинская область
53,Бабаево,Вологодская область
54,Бабушкин,Бурятия
55,Бавлы,Татарстан
56,Багратионовск,Калининградская область
57,Байкальск,Иркутская область
58,Баймак,Башкортостан
59,Бакал,Челябинская область
60,Баксан,Кабардино-Балкария
61,Балабаново,Калужская область
62,Балаково,Саратовская область
63,Балахна,Нижегородская область
64,Балашиха,Московская область
65,Балашов,Саратовская область
66,Балей,Забайкальский край
67,Балтийск,Калининградская область
68,Барабинск,Новосибирская область
69,Барнаул,Алтайский край
70,Барыш,Ульяновская область
71,Батайск,Ростовская область
72,Бежецк,Тверская область
73,Белая Калитва,Ростовская область
74,Белая Холуница,Кировская область
75,Белгород,Белгородская область
76,Белебей,Башкортостан
77,Белёв,Тульская область
78,Белинский,Пензенская область
79,Белово,Кемеровская область
80,Белогорск,Амурская область
81,Белозерск,Вологодская область
82,Белокуриха,Алтайский край
83,Беломорск,Карелия
84,Белоозёрский,Московская область
85,Белорецк,Башкортостан
86,Белореченск,Краснодарский край
87,Белоусово,Калужская область
88,Белоярский,Ханты-Мансийский АО
89,Белый,Тверская область
90,Бердск,Новосибирская область
91,Березники,Пермский край
92,Берёзовский,Кемеровская область
93,Берёзовский,Свердловская область
94,Беслан,Северная Осетия
95,Бийск,Алтайский край
96,Бикин,Хабаровский край
97,Билибино,Чукотский АО
98,Биробиджан,Еврейская АО
99,Бирск,Башкортостан
100,Бирюсинск,Иркутская область
101,Бирюч,Белгородская область
102,Благовещенск,Башкортостан
103,Благовещенск,Амурская область
104,Благодарный,Ставропольский край
105,Бобров,Воронежская область
106,Богданович,Свердловская область
107,Богородицк,Тульская область
108,Богородск,Нижегородская область
109,Боготол,Красноярский край
110,Богучар,Воронежская область
111,Бодайбо,Иркутская область
112,Бокситогорск,Ленинградская область
113,Болгар,Татарстан
114,Бологое,Тверская область
115,Болотное,Новосибирская область
116,Болохово,Тульская область
117,Болхов,Орловская область
118,Большой Камень,Приморский край
119,Бор,Нижегородская область
120,Борзя,Забайкальский край
121,Борисоглебск,Воронежская область
122,Боровичи,Новгородская область
123,Боровск,Калужская область
124,Бородино,Красноярский край
125,Братск,Иркутская область
126,Бронницы,Московская область
127,Брянск,Брянская область
128,Бугры,Ленинградская область
129,Бугульма,Татарстан
130,Бугуруслан,Оренбургская область
131,Будённовск,Ставропольский край
132,Бузулук,Оренбургская область
133,Буинск,Татарстан
134,Буй,Костромская область
135,Буйнакск,Дагестан
136,Бутурлиновка,Воронежская область
137,Валдай,Новгородская область
138,Валуйки,Белгородская область
139,Велиж,Смоленская область
140,Великие Луки,Псковская область
141,Великий Новгород,Новгородская область
142,Великий Устюг,Вологодская область
143,Вельск,Архангельская область
144,Венёв,Тульская область
145,Верещагино,Пермский край
146,Верея,Московская область
147,Верхнеуральск,Челябинская область
148,Верхний Тагил,Свердловская область
149,Верхний Уфалей,Челябинская область
150,Верхняя Пышма,Свердловская область
151,Верхняя Салда,Свердловская область
152,Верхняя Тура,Свердловская область
153,Верхотурье,Свердловская область
154,Верхоянск,Якутия
155,Весьегонск,Тверская область
156,Ветлуга,Нижегородская область
157,Видное,Московская область
158,Вилюйск,Якутия
159,Вилючинск,Камчатский край
160,Вихоревка,Иркутская область
161,Вичуга,Ивановская область
162,Владивосток,Приморский край
163,Владикавказ,Северная Осетия
164,Владимир,Владимирская область
165,Волгоград,Волгоградская область
166,Волгодонск,Ростовская область
167,Волгореченск,Костромская область
168,Волжск,Марий Эл
169,Волжский,Волгоградская область
170,Вологда,Вологодская область
171,Володарск,Нижегородская область
172,Волоколамск,Московская область
173,Волосово,Ленинградская область
174,Волхов,Ленинградская область
175,Волчанск,Свердловская область
176,Вольск,Саратовская область
177,Воркута,Коми
178,Воронеж,Воронежская область
179,Ворсма,Нижегородская область
180,Воскресенск,Московская область
181,Воткинск,Удмуртия
182,Всеволожск,Ленинградская область
183,Вуктыл,Коми
184,Выборг,Ленинградская область
185,Выкса,Нижегородская область
186,Высоковск,Московская область
187,Высоцк,Ленинградская область
188,Вытегра,Вологодская область
189,Вышний Волочёк,Тверская область
190,Вяземский,Хабаровский край
191,Вязники,Владимирская область
192,Вязьма,Смоленская область
193,Вятские Поляны,Кировская область
194,Гаврилов Посад,Ивановская область
195,Гаврилов-Ям,Ярославская область
196,Гагарин,Смоленская область
197,Гаджиево,Мурманская область
